spec_item_id;spec_name;mark;price;supplier;card_name;url;verdict;reason
7703;Клапан обратный осевой муфтовый корпус латунь, диск нитрил G1'';CA1103-0025;980;snabteploservis.ru;"Клапан обратный осевой латунь CA1103 Ду 25 Ру16 ВР G1"" Tecofi CA1103-0";https://snabteploservis.ru/klapan-obratnyj-osevoj-latun-ca1103-du-25-ru16-vr-g1-tecofi-ca1103-0025/;верно;"CA1103 Tecofi, G1""=Ду25 и в позиции, и на карточке"
7704;Клапан обратный осевой муфтовый корпус латунь, диск нитрил G1/2'';CA1103-0015;300;termopartner.ru;Обратный клапан CA1103-0015 Tecofi;https://termopartner.ru/catalog/rasprodazha/obratnyy_klapan_ca1103_0015_tecofi/;верно;"артикул CA1103-0015 (Ду15=G1/2"") совпал с позицией G1/2"""
7705;Клапан обратный осевой фланцевый корпус чугун, диск чугун, PN16 Ду50;CA3241-0050;8479.1;termopartner.ru;CA3241-0050 - Обратный клапан CA3241 Ду50 Ру16 Tecofi;https://termopartner.ru/catalog/truboprovodnaya_armatura/obratnye_klapany/obratnye_klapany_tecofi/obratnye_klapany_ca3241_tecofi/obratnyy_klapan_ca3241_0050_tecofi_du50_ru16/;верно;CA3241 Tecofi Ду50 Ру16 в позиции и на карточке
7708;Кран шаровой латунный для природного газа 11Б27п Ду25 А12 газнр/нр рычаг;Б27п;288;rosarmatorg.ru;Кран шаровой латунный газ 11б27п А12 Ду 25 НР рычаг БАЗ А500мм;https://rosarmatorg.ru/kran-sharovoj-latunnij-gaz-11b27p-a12-du-25-nr-richag-baz-a500mm-100-439-5282;верно;11Б27п А12 Ду25 газ НР рычаг совпали
7709;Кран шаровой латунный для природного газа 11Б27п Ду25 А12 газнр/нр рычаг;Б27п;288;rosarmatorg.ru;Кран шаровой латунный газ 11б27п А12 Ду 25 НР рычаг БАЗ А500мм;https://rosarmatorg.ru/kran-sharovoj-latunnij-gaz-11b27p-a12-du-25-nr-richag-baz-a500mm-100-439-5282;верно;11Б27п А12 Ду25 газ НР рычаг совпали
7710;"Кран шаровой латунный с рычагом из стали, резьбы внутренняя-внутренняя по ISO 7:2000, DN 1""1/2";ISO 7;778;mossan.ru;Шаровой кран с внутренней резьбой UNI ISO 7/1 Ду 15 мм, PN 40 бар;https://mossan.ru/kran-bvr-sharovoy-zapornyy-1-2;не тот размер;"DN 1""1/2 (Ду40) в позиции, Ду15 на карточке; ISO 7 - стандарт резьбы, не артикул"
7711;"Кран шаровой латунный, резьбы внутренняя-внутренняя по ISO 7:2000, DN 1""";ISO 7;735.05;proconsim.ru;Кран шаровой латунный DN 20 PN40 с внутренней резьбой Danfoss UNI ISO ;https://proconsim.ru/product/910000228/;не тот размер;"DN 1"" (Ду25) в позиции, DN20 на карточке; ISO 7 - стандарт резьбы"
7712;"Кран шаровой латунный, резьбы внутренняя-внутренняя по ISO 7:2000, DN 1""1/4";ISO 7;1085.26;xn--b1agyekgek.xn--p1ai;Кран шаровый Danfoss BVR;https://xn--b1agyekgek.xn--p1ai/product/danfoss-kran-sharovyy-tip-bvr/;не тот размер;"DN 1""1/4 (Ду32) в позиции; на карточке размера нет, на странице цена 1085,26 - у DN15 (DN32 стоит 3735,11)"
7713;"Кран шаровой латунный, резьбы внутренняя-внутренняя по ISO 7:2000, DN 3/4""";ISO 7;735.05;proconsim.ru;Кран шаровой латунный DN 20 PN40 с внутренней резьбой Danfoss UNI ISO ;https://proconsim.ru/product/910000228/;верно;"DN 3/4"" в позиции = DN20 на карточке, внутр.-внутр. резьба ISO 7/1"
7714;РЕДУКТОР ДАВЛЕНИЯ ПОРШНЕВОЙ HEIZEN 304 Ду15;HEIZEN 304;864.94;yunimag.ru;Редуктор давления Heizen 1/2 304C;https://yunimag.ru/goods/1535078-reduktor-davleniya-heizen-304c.html;верно;"Heizen 304(C) поршневой 1/2""=Ду15 (стр.); суффикс C на карточке, в позиции без него"
7736;Клапан обратный осевой муфтовый корпус латунь, диск нитрил G2'';CA1103-0050;2794;astra-pools.com;Осевой муфтовый обратный клапан, ДУ 2“;https://astra-pools.com/zapornaya-armatura-tecofi/obratnye-klapany/osevoy-muftovyy-obratnyy-klapan-du-2-69;верно;"стр.: CA1103-0050 Tecofi, латунь/нитрил, Ду2"" = G2"" позиции"
7737;Кран шаровой латунный для природного газа 11Б27п Ду50 А12 газнр/нр рычаг;Б27п;1618;rosarmatorg.ru;Кран шаровой латунный Стандарт 221 аналог 11б27п1 Ду50 ВР/НР рычаг ГАЛ;https://rosarmatorg.ru/kran-sharovoj-latunnij-standart-221-analog-11b27p1-du50-vrnr-richag-gallop;не тот товар;в позиции 11Б27п газ нр/нр, на карточке аналог Стандарт 221 ВР/НР
7768;"Кран шаровой латунный, резьбы внутренняя-внутренняя по ISO 7:2000, DN 1/2""";ISO 7;778;mossan.ru;Шаровой кран с внутренней резьбой UNI ISO 7/1 Ду 15 мм, PN 40 бар;https://mossan.ru/kran-bvr-sharovoy-zapornyy-1-2;верно;"DN 1/2"" в позиции = Ду15 на карточке, внутр. резьба ISO 7/1"
7775;Кран для манометра трехходовой (кран под манометр) ABRA VFM16-FGFG DN15 PN16 внутр.G1/2 / внутр. G1/2;VFM 16;628;armarost.ru;ABRA VFM16-FGFG внутр.G1/2” / внутр. G1/2”;https://armarost.ru/catalog/zapornaya_armatura/krany/krany_sharovye_latunnye/abra_vfm16_fgfg_vnutr_g1_2_vnutr_g1_2.html;верно;ABRA VFM16-FGFG внутр. G1/2 / внутр. G1/2 совпали
7777;Манометр ТМ серия 10 модель 2;ТМ-510P.00;353;suntehnik.ru;"РОСМА  ТМ-510P.00(0-1,6MРа)G1/2.1,5.M2  Манометр диам. 100 мм; тип ТМ;";https://suntehnik.ru/catalog/manometry/rosma_tm_510p_00_0_1_6mra_g1_2_1_5_m2_manometr_diam_100_mm_tip_tm_seriya_10_model_2_kt_1_5_ip40_g1_2/;верно;"ТМ серия 10 модель 2 и марка ТМ-510P.00 совпали; диапазон в позиции не задан"
