project_id;spec_item_id;spec_name;было_цена;было_карточка;было_url;М_цена;М_карточка;М_url;С_цена;С_карточка;С_url;size_первого_было
16;7382;"Теплосчетчик поквартирный, qp=1.5м3/ч; Ø15";12270.5;SonoSelect10 (Интеллектуальный выбор) /1,5/под/Ду15/M-bus+лист пов.;https://ridan.ru/product/014U0091P;12270.5;SonoSelect10 (Интеллектуальный выбор) /1,5/под/Ду15/M-bus+лист пов.;https://ridan.ru/product/014U0091P;12270.5;SonoSelect10 (Интеллектуальный выбор) /1,5/под/Ду15/M-bus+лист пов.;https://ridan.ru/product/014U0091P;None
16;7383;Радиатор панельный Compact;5831;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 600 мм) бо;https://nord-heat.ru/steel/compact/c22-400-600.html;5831;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 600 мм) бо;https://nord-heat.ru/steel/compact/c22-400-600.html;5831;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 600 мм) бо;https://nord-heat.ru/steel/compact/c22-400-600.html;None
16;7384;Радиатор панельный Compact;10119;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1200 мм) б;https://nord-heat.ru/steel/compact/c22-400-1200.html;10119;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1200 мм) б;https://nord-heat.ru/steel/compact/c22-400-1200.html;10119;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1200 мм) б;https://nord-heat.ru/steel/compact/c22-400-1200.html;None
16;7385;Радиатор панельный Compact;11443;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1400 мм) б;https://nord-heat.ru/steel/compact/c22-400-1400.html;11443;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1400 мм) б;https://nord-heat.ru/steel/compact/c22-400-1400.html;11443;Панельный радиатор Evra Compact (тип 22 высота 400 мм длина 1400 мм) б;https://nord-heat.ru/steel/compact/c22-400-1400.html;None
16;7386;Радиатор панельный Compact;12447;Панельный радиатор Evra Compact (тип 33 высота 400 мм длина 1000 мм) б;https://nord-heat.ru/steel/compact/c33-400-1000.html;12447;Панельный радиатор Evra Compact (тип 33 высота 400 мм длина 1000 мм) б;https://nord-heat.ru/steel/compact/c33-400-1000.html;12447;Панельный радиатор Evra Compact (тип 33 высота 400 мм длина 1000 мм) б;https://nord-heat.ru/steel/compact/c33-400-1000.html;None
16;7387;Радиатор панельный Ventil Compact;6979;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 100;https://nord-heat.ru/steel/ventil-compact/cv11-400-1000.html;6979;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 100;https://nord-heat.ru/steel/ventil-compact/cv11-400-1000.html;6979;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 100;https://nord-heat.ru/steel/ventil-compact/cv11-400-1000.html;None
16;7388;Радиатор панельный Ventil Compact;6153;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1200;https://stoking.ru/products/radiator-stal-panelnyy-evra-ventil-compact-11cv-400x1200;6153;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1200;https://stoking.ru/products/radiator-stal-panelnyy-evra-ventil-compact-11cv-400x1200;6153;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1200;https://stoking.ru/products/radiator-stal-panelnyy-evra-ventil-compact-11cv-400x1200;None
16;7389;Радиатор панельный Ventil Compact;8555;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 140;https://nord-heat.ru/steel/ventil-compact/cv11-400-1400.html;8555;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 140;https://nord-heat.ru/steel/ventil-compact/cv11-400-1400.html;8555;Панельный радиатор Evra Ventil Compact (тип 11 высота 400 мм длина 140;https://nord-heat.ru/steel/ventil-compact/cv11-400-1400.html;None
16;7390;Радиатор панельный Ventil Compact;8216;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1600;https://profsnabeng.ru/product/109471-evra-cv-11-400-1600-evra_r;8216;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1600;https://profsnabeng.ru/product/109471-evra-cv-11-400-1600-evra_r;8216;Радиатор сталь панельный EVRA Ventil Compact 11CV 400x1600;https://profsnabeng.ru/product/109471-evra-cv-11-400-1600-evra_r;None
16;7391;Радиатор панельный Ventil Compact;8335;Панельный радиатор Evra Ventil Compact (тип 22 высота 400 мм длина 700;https://nord-heat.ru/steel/ventil-compact/cv22-400-700.html;8335;Панельный радиатор Evra Ventil Compact (тип 22 высота 400 мм длина 700;https://nord-heat.ru/steel/ventil-compact/cv22-400-700.html;8335;Панельный радиатор Evra Ventil Compact (тип 22 высота 400 мм длина 700;https://nord-heat.ru/steel/ventil-compact/cv22-400-700.html;None
